Designator,Mid X,Mid Y,Rotation,Layer
C1,143.271875,-47.625,180.0,bottom
C10,143.271875,-88.503125,135.0,bottom
C12,138.90625,-106.759375,0.0,bottom
C13,141.2875,-103.98125,270.0,bottom
C14,131.7625,-85.725,45.0,bottom
C15,138.90625,-100.409375,270.0,bottom
C2,143.271875,-53.18125,180.0,bottom
C3,135.73125,-83.740625,90.0,bottom
C4,134.125,-88.10625,90.0,bottom
C5,135.315625,-88.10625,90.0,bottom
C6,138.8875,-88.503125,90.0,bottom
C7,137.715625,-100.409375,270.0,bottom
C8,144.4625,-95.45625,180.0,bottom
C9,133.35,-95.45625,0.0,bottom
D1,39.6875,-37.30625,270.0,bottom
D10,200.025,-37.30625,270.0,bottom
D11,257.175,-37.30625,270.0,bottom
D12,254.0,-37.30625,270.0,bottom
D13,261.9375,-41.275,90.0,bottom
D14,261.9375,-46.0375,90.0,bottom
D15,39.6875,-56.35625,270.0,bottom
D16,42.8625,-56.35625,270.0,bottom
D17,77.7875,-56.35625,270.0,bottom
D18,80.9625,-56.35625,270.0,bottom
D19,115.8875,-56.35625,270.0,bottom
D2,42.8625,-37.30625,270.0,bottom
D20,119.0625,-56.35625,270.0,bottom
D21,158.75,-56.35625,270.0,bottom
D22,177.8,-56.35625,270.0,bottom
D23,196.85,-56.35625,270.0,bottom
D24,200.025,-56.35625,270.0,bottom
D25,234.95,-56.35625,270.0,bottom
D26,238.125,-56.35625,270.0,bottom
D27,261.9375,-56.35625,270.0,bottom
D28,261.9375,-51.59375,270.0,bottom
D29,39.6875,-79.375,90.0,bottom
D3,77.7875,-37.30625,270.0,bottom
D30,42.8625,-79.375,90.0,bottom
D31,77.7875,-79.375,90.0,bottom
D32,80.9625,-79.375,90.0,bottom
D33,115.8875,-79.375,90.0,bottom
D34,119.0625,-79.375,90.0,bottom
D35,158.75,-79.375,90.0,bottom
D36,177.8,-79.375,90.0,bottom
D37,196.85,-79.375,90.0,bottom
D38,200.025,-79.375,90.0,bottom
D39,234.95,-79.375,90.0,bottom
D4,80.9625,-37.30625,270.0,bottom
D40,238.125,-79.375,90.0,bottom
D41,277.8125,-84.1375,90.0,bottom
D42,37.703125,-91.28125,270.0,bottom
D43,56.753125,-91.28125,270.0,bottom
D44,75.803125,-91.28125,270.0,bottom
D45,94.853125,-91.28125,270.0,bottom
D46,123.428125,-91.28125,270.0,bottom
D47,166.290625,-91.28125,270.0,bottom
D48,194.865625,-91.28125,270.0,bottom
D49,213.915625,-91.28125,270.0,bottom
D5,115.8875,-37.30625,270.0,bottom
D50,232.965625,-91.28125,270.0,bottom
D51,256.778125,-91.28125,270.0,bottom
D52,275.828125,-91.28125,270.0,bottom
D53,294.878125,-91.28125,270.0,bottom
D6,119.0625,-37.30625,270.0,bottom
D7,158.75,-37.30625,270.0,bottom
D8,177.8,-37.30625,270.0,bottom
D9,196.85,-37.30625,270.0,bottom
F1,138.90625,-48.021875,180.0,bottom
J1,138.90625,-32.54375,180.0,bottom
LED1,294.48125,-79.771875,90.0,bottom
MX1,31.75,-39.290625,180.0,top
MX10,207.9625,-39.290625,180.0,top
MX11,227.0125,-39.290625,180.0,top
MX12,246.0625,-39.290625,180.0,top
MX13,269.875,-39.290625,0.0,top
MX14,288.925,-39.290625,0.0,top
MX15,31.75,-58.340625,180.0,top
MX16,50.8,-58.340625,180.0,top
MX17,69.85,-58.340625,180.0,top
MX18,88.9,-58.340625,180.0,top
MX19,107.95,-58.340625,180.0,top
MX2,50.8,-39.290625,180.0,top
MX20,127.0,-58.340625,180.0,top
MX21,150.8125,-58.340625,180.0,top
MX22,169.8625,-58.340625,180.0,top
MX23,188.9125,-58.340625,180.0,top
MX24,207.9625,-58.340625,180.0,top
MX25,227.0125,-58.340625,180.0,top
MX26,246.0625,-58.340625,180.0,top
MX27,269.875,-58.340625,180.0,top
MX28,288.925,-58.340625,180.0,top
MX29,31.75,-77.390625,0.0,top
MX3,69.85,-39.290625,180.0,top
MX30,50.8,-77.390625,0.0,top
MX31,69.85,-77.390625,0.0,top
MX32,88.9,-77.390625,0.0,top
MX33,107.95,-77.390625,0.0,top
MX34,127.0,-77.390625,0.0,top
MX35,150.8125,-77.390625,0.0,top
MX36,169.8625,-77.390625,0.0,top
MX37,188.9125,-77.390625,0.0,top
MX38,207.9625,-77.390625,0.0,top
MX39,227.0125,-77.390625,0.0,top
MX4,88.9,-39.290625,180.0,top
MX40,246.0625,-77.390625,0.0,top
MX41,269.875,-82.153125,0.0,top
MX42,31.75,-101.203125,0.0,top
MX43,50.8,-101.203125,0.0,top
MX44,69.85,-101.203125,0.0,top
MX45,88.9,-101.203125,0.0,top
MX46,117.475,-101.203125,0.0,top
MX47,160.3375,-101.203125,0.0,top
MX48,188.9125,-101.203125,0.0,top
MX49,207.9625,-101.203125,0.0,top
MX5,107.95,-39.290625,180.0,top
MX50,227.0125,-101.203125,0.0,top
MX51,250.825,-101.203125,0.0,top
MX52,269.875,-101.203125,0.0,top
MX53,288.925,-101.203125,0.0,top
MX6,127.0,-39.290625,180.0,top
MX7,150.8125,-39.290625,180.0,top
MX8,169.8625,-39.290625,180.0,top
MX9,188.9125,-39.290625,180.0,top
R1,137.31875,-38.89375,180.0,bottom
R2,140.49375,-38.89375,0.0,bottom
R3,153.9875,-90.090625,90.0,bottom
R4,155.178125,-90.090625,270.0,bottom
R5,156.36875,-90.090625,270.0,bottom
R6,121.44375,-90.090625,270.0,bottom
R7,136.50625,-88.10625,90.0,bottom
R8,137.696875,-88.10625,90.0,bottom
R9,136.525,-103.98125,90.0,bottom
SW1,279.4,-48.815625,90.0,bottom
SWR1,160.3375,-86.915625,90.0,bottom
SWR2,117.475,-86.915625,270.0,bottom
U1,143.271875,-50.403125,90.0,bottom
U2,138.90625,-51.196875,0.0,bottom
U3,139.303125,-82.153125,270.0,bottom
U4,138.90625,-94.45625,0.0,bottom
Y1,138.90625,-103.98125,90.0,bottom
