Designator,Mid X,Mid Y,Rotation,Layer
_18,276.184962,-57.654483,0.0,top
_17,289.827545,-48.10569,0.0,top
_16,251.578731,-72.711919,0.0,top
_15,5.367368,-48.10569,0.0,top
_14,114.12236,-34.463273,0.0,top
_13,251.578732,-42.549459,0.0,top
_12,276.184962,-34.463273,0.0,top
_11,281.741191,-72.71192,0.0,top
_10,281.741191,-42.54946,0.0,top
_9,19.009951,-34.463273,0.0,top
_8,126.097406,-123.660602,0.0,top
_7,19.009951,-123.660602,0.0,top
_6,233.322462,-34.463273,0.0,top
_5,5.367368,-110.018186,0.0,top
_4,138.072452,-34.463273,0.0,top
_3,289.827545,-110.018186,0.0,top
_2,276.184962,-123.660602,0.0,top
,238.084958,-123.660602,0.0,top
